temperature,humidity,co2
26.3,64.26,455
26.29,64.29,452
26.3,64.32,442
26.29,64.34,442
26.29,64.44,437
26.28,64.41,436
26.28,64.48,433
26.28,64.52,454
26.28,64.48,448
26.27,64.5,426
26.27,64.52,442
26.27,64.53,441
26.26,64.55,450
26.26,64.6,444
26.26,64.6,440
26.26,64.6,429
26.25,64.61,436
26.25,64.61,447
26.25,64.6,445
26.25,64.59,426
26.25,64.57,442
26.25,64.54,444
26.26,64.51,458
26.26,64.55,438
26.25,64.58,445
26.24,64.59,446
26.24,64.64,436
26.24,64.62,436
26.23,64.64,445
26.22,64.72,444
26.22,64.73,442
26.21,64.73,450
26.21,64.69,445
26.22,64.68,449
26.23,64.69,436
26.23,64.73,453
26.22,64.8,431
26.22,64.8,442
26.22,64.83,433
26.21,64.85,441
26.21,64.88,442
26.2,64.91,444
26.2,64.93,453
26.2,64.95,443
26.2,65.0,448
26.19,65.04,441
26.19,65.07,434
26.19,65.11,441
26.19,65.15,453
26.18,65.15,453
26.19,65.18,460
26.19,65.26,442
26.19,65.32,454
26.18,65.45,448
26.17,65.44,466
26.17,65.44,448
26.17,65.5,449
26.16,65.57,470
26.16,65.58,445
26.15,65.64,457
26.15,65.67,461
26.15,65.77,451
26.15,65.85,459
26.15,65.93,452
26.15,65.96,444
26.14,66.02,457
26.15,66.17,468
26.15,66.21,451
26.15,66.3,453
26.15,66.44,454
26.14,66.46,471
26.14,66.54,455
26.13,66.67,465
26.12,66.6,473
26.12,66.72,464
26.12,66.76,465
26.12,66.8,455
26.11,66.96,459
26.1,67.03,462
26.1,67.05,452
26.1,67.21,468
26.11,67.26,457
26.12,67.29,456
26.11,67.45,456
26.1,67.5,458
26.1,67.61,457
26.1,67.64,449
26.09,67.63,461
26.09,67.62,469
26.09,67.63,467
26.08,67.69,451
26.07,67.73,467
26.08,67.74,484
26.07,67.82,466
26.06,67.9,468
26.05,67.88,468
26.05,68.01,465
26.05,67.94,451
26.05,67.83,470
26.04,67.75,463
26.04,67.79,459
26.05,67.74,456
26.03,67.76,459
26.03,67.74,457
26.02,67.75,455
26.02,67.7,462
26.02,67.66,469
26.01,67.7,468
26.01,67.66,462
26.0,67.69,466
25.99,67.68,453
25.98,67.67,466
25.98,67.62,465
25.97,67.61,460
25.98,67.54,464
25.98,67.5,463
25.98,67.43,472
25.97,67.41,471
25.96,67.4,457
25.96,67.38,462
25.95,67.39,469
25.96,67.33,457
25.96,67.31,449
25.95,67.26,455
25.94,67.23,453
25.94,67.21,458
25.93,67.2,461
25.93,67.16,458
25.92,67.15,464
25.91,67.15,457
25.9,67.11,465
25.89,67.11,457
25.89,67.09,458
25.89,67.07,470
25.88,67.08,461
25.87,67.1,477
25.87,67.11,463
25.86,67.13,461
25.85,67.16,474
25.85,67.11,457
25.86,67.08,449
25.86,67.06,460
25.85,67.08,472
25.85,67.08,466
25.86,67.06,469
25.86,67.02,481
25.86,67.02,464
25.85,67.03,474
25.85,67.04,470
25.85,67.03,473
25.86,67.02,464
25.86,67.0,458
25.86,66.99,449
25.86,66.99,460
25.87,66.99,477
25.88,66.99,444
25.89,67.01,463
25.89,67.04,463
25.9,67.04,453
25.91,67.02,462
25.93,66.97,476
25.95,66.82,468
25.97,66.67,472
25.98,66.43,463
25.99,66.32,469
26.0,66.28,482
25.91,64.52,500
25.4,60.76,481
24.85,59.9,475
24.57,61.33,480
24.45,61.84,491
24.05,58.26,497
23.77,56.17,516
23.59,54.35,586
23.48,52.99,677
23.44,51.39,725
23.29,50.3,752
23.2,49.59,802
23.13,48.92,849
23.17,48.28,901
23.1,47.61,921
23.01,47.35,966
22.92,47.03,988
22.87,46.91,1032
22.89,46.66,1101
22.99,47.06,1106
23.27,49.58,939
23.25,50.19,762
22.79,49.03,728
22.46,48.48,711
22.39,47.88,726
22.32,47.81,721
22.41,48.02,765
22.54,47.75,836
22.64,46.89,873
